,ASIN,Title,ProductGroup,ProductTypeName
0,B06XRW26VW,"adidas Originals Baby Superstar I, White/Black/White, 5 M US Infant",Shoes,SHOES
1,B071LGH5BJ,"adidas Originals Superstar J, Ftwwht,Minblu,Ftwwht-B42368, 5.5 Medium US",Shoes,SHOES
2,B008VAZNDK,"adidas Toddler Boys' Iconic Tricot Jacket and Pant Set, Grey, 4T",Apparel,SHIRT
3,B071L2D7Q7,"adidas Big Boys' Tiro and Tricot Jackets, Black, L",Apparel,OUTERWEAR
4,B076Z6Q8BS,"adidas Boys' Tricot Jacket and Pant Set (4T, Cosmic Blue)",Apparel,SWEATER
5,B01MTYPTWX,"Adidas Big Boys' Clima Performance Logo Tee, Navy, M",Apparel,SHIRT
6,B01IO53JU0,"adidas Originals Boys' Gazelle C Sneaker, Collegiate Navy/White/White, 13 M US Little Kid",Shoes,SHOES
7,B06XX22Z3M,"adidas NEO Boys' Lite Racer K Sneaker, Grey/Grey/White, 1 M US Little Kid",Shoes,SHOES
8,B01DW6UAVW,"adidas Originals Kids' Stan Smith EL C Fashion Sneaker, White/White/Fairway, 13.5 M US Little Kid",Shoes,SHOES
9,B071Z2SNR2,"adidas Little Boys' Core Graphic Long Sleeve Tee, White, 5",Apparel,SHIRT
10,B01FY1XR9K,"adidas Originals Kids' Superstar Foundation EL C Sneaker, White/Black/White, 2 M US Little Kid",Shoes,SHOES
11,B06XWKY4R4,"adidas Originals Boys' X_PLR C Sneaker, Grey/Grey/White, 1.5 M US Little Kid",Shoes,SHOES
12,B0716RZ7BR,"Adidas Little Boys' Tricot Jogger, Black, 4",Apparel,PANTS
13,B01HNE15EU,"adidas NEO Boys' Baseline K Sneaker, White/Black/White, 2.5 Medium US Little Kid",Shoes,SHOES
14,B077KV3F3R,"Adidas Boys' Coast To Coast Hoodie (Dark Grey, M)",Sports,SPORTING_GOODS
15,B01NCSTP43,"adidas Originals Boys' Swift Run J Sneaker, Trace Green/Black/White, 4 M US Big Kid",Shoes,SHOES
16,B01N7C8935,"adidas Performance Boys' Rapidarun K Running Shoe, Scarlet/Scarlet/Black, 1.5 M US Little Kid",Shoes,SHOES
17,B01N59GKVZ,"adidas Performance Boys' Fortarun EL K Running Shoe, Scarlet/Black/White, 2 Medium US Little Kid",Shoes,SHOES
18,B075RN797J,adidas Kids Pharrell Williams Tennis HU White CP9804 (SIZE: 7),Shoes,SHOES
19,B07259FKQS,"adidas Big Boys' Athletic Pullover Hoodie, Black, L",Apparel,SWEATER
20,B01IO52CWG,"adidas Originals Boys' Gazelle J Sneaker, Collegiate Navy/White/White, 6 M US Big Kid",Shoes,SHOES
21,B01FLZ55KS,"adidas NEO Boys' VS Advantage Clean Cmf C Sneaker, White/White/Green, 13 Medium US Little Kid",Shoes,SHOES
22,B01MXUWLJU,"adidas NEO Big Kids' CF Racer TR K Sneaker,PETROL NIGHT/BLACK/WHITE,2 Medium US Big kid",Shoes,SHOES
23,B06XG2PXJQ,"Adidas Big Boys' Coast Pullover, Black, L(14/16)",Apparel,SHIRT
24,B0132JKKZ0,adidas Originals Stan Smith J White/Blue Leather 6 M US Big Kid,Shoes,SHOES
25,B07143MRWK,"adidas Originals Boys' Tubular Shadow J Sneaker, Core Black/White/Core Black, 5.5 M US Big Kid",Shoes,SHOES
26,B01GV1699W,"adidas NEO Boys' Raleigh 9TIS Mid K Sneaker, Black/White/Black, 11 Medium US Little Kid",Shoes,SHOES
27,B01MSX5TZB,"Adidas Big Boys' Tiro and Tricot Jackets, Caviar Black, XL",Apparel,OUTERWEAR
28,B01HH8WJVU,"adidas Performance Boys' Alphabounce j Running Shoe, Black/White/Utility Black, 6 Medium US Big Kid",Shoes,SHOES
29,B0748S4KQB,adidas Kids Unisex Incision Trail XJ (Little Kid/Big Kid) Black/Shock Pink/Solar Yellow 3.5 M US Big Kid,Shoes,SHOES
30,B01N0NIYEQ,"adidas NEO Boys' Cloudfoam Ultimate Sneaker, Grey Four/Solar Yellow/Matte Silver, 4 M US Little Kid",Shoes,SHOES
31,B01MTUM2HR,"adidas Performance Boys' Vigor Bounce c Running Shoe, Blue/Grey/Semi Solar Yellow, 3 Medium US Little Kid",Shoes,SHOES
32,B01N6DJVR7,"adidas NEO Boys' BB9TIS K Sneaker, White/Black/Blue, 12.5 Medium US Little Kid",Shoes,SHOES
33,B01NBBZIRV,"adidas Originals Boys' Swift Run C Sneaker, Black/Utility Black/Black, 1.5 Medium US Little Kid",Shoes,SHOES
34,B06XGPZP3J,"Adidas Little Boys' Team Trainer Pant Child, Navy/Green, 7",Apparel,PANTS
35,B075FJZWBQ,"Adidas Little Boys' Classic Pullover, Black, 7",Apparel,SHIRT
36,B01NCIDCQY,"adidas NEO Unisex-Kids Lite Racer Sneakers, Black/Black/Utility Black, (12 M US)",Shoes,SHOES
37,B01N1MCVCD,"adidas Performance Girls' Fortarun K,COLLEGIATE ROYAL/WHITE/COLLEGIATE NAVY,6 Medium US Little Kid",Shoes,SHOES
38,B010GU7G4Q,"adidas NEO Lite Racer K Kids' Running Shoe (Little Kid/Big Kid),Vivid Mint/Flash Pink/Solar Pink,4.5 M US Big Kid",Shoes,SHOES
39,B00LU82KHC,"adidas Performance Youth Tiro 15 Training Pant, Large, Black/White/Black",Sports,SPORTING_GOODS
40,B0722Y3V4L,"Adidas Little Boys' Active Two-Fer Tee Shirt, Solar Red, 6",Apparel,SHIRT
41,B076632B26,Adidas Kids Ultraboost J 5,Shoes,SHOES
42,B01MYTCE7A,adidas Kids  Boy's Alphabounce RC J (Big Kid) Core Red/Silver Metallic/Scarlet Athletic Shoe,Shoes,SHOES
43,B076VSBKTS,"adidas Boys Originals Trefoil Hoodie (Black/White, M)",Apparel,SWEATER
44,B01MXRVP9P,"adidas Performance Boys' Alphabounce Hpc Ams j Running Shoe, Medium Heather Grey/Grey Four/White, 6.5 Medium US Big Kid",Shoes,SHOES
45,B01NAM33I1,"adidas Originals Boys' Superstar C Sneaker, Grey Five/Utility Black/Metallic Gold, 13 Medium US Little Kid",Shoes,SHOES
46,B01MU46FE2,"adidas Performance Boys' Alphabounce Starwars j Running Shoe, White/Grey One/Black, 6 Medium US Big Kid",Shoes,SHOES
47,B0768NL48Z,"Adidas Boys Athletic Pants Black & White, Small (8)",Apparel,PANTS
48,B071L2D3PY,"adidas Big Boys' Athletics Jacket, Charcoal Grey Heather, S",Apparel,OUTERWEAR
49,B01LY1JL20,"adidas Youth Soccer Tiro 17 Pants, Small - Black/Shock Pink",Sports,SPORTING_GOODS
50,B01N6JH94B,"adidas Big Boys' Trainer Pant Youth, Dark Grey, L",Apparel,PANTS
51,B01N4BVVSM,"adidas Performance Unisex-Kids Seeley J Skate Shoe, Core Black, Ftwr White, Scarlet, 1.5 M US Little Kid",Shoes,SHOES
52,B01M0U9OE0,"Adidas Youth Big Boys Game Ready Hoodie And Pants Set, Green/ Grey",Sports,SPORTING_GOODS
53,B00QKRKDC2,"adidas Men's Soccer Tiro 15 Training Jacket, Black/White/Black, Large",Sports,SPORTING_GOODS
54,B01MTXCPK0,"adidas NEO Big kids' Daily Team K Sneaker,WHITE/WHITE/GREY ONE,4.5 Medium US Big Kid",Shoes,SHOES
55,B01JGLVXBI,"adidas Performance Unisex-Kids Adissage Comfort K Sport Sandal, Ftwr White, Solar Pink, Solar Pink, 5 M US Big Kid",Shoes,SHOES
56,B01N1V0I03,Adidas Boys Tracksuit Kids Track Top Pants Set Poly Jog Suit Blue New BP9334 (7/8 Years (128cm)),Apparel,SPORTING_GOODS
